取引先ID(必須),取引先名(必須),住所,電話番号,業種,設立年,URL,資本金,従業員数,決算月,顧客区分（管理番号:19103）,商流（管理番号:19122）,販売店名（管理番号:19121）,担当営業（管理番号:19104）,担当営業（管理番号:19113）,エリア（管理番号:19114）,MA部支援担当（管理番号:19258）,MA部推進希望（管理番号:19116）,接点（管理番号:19117）,保有設備（管理番号:19118）,最新評点（管理番号:19119）,前回評点（管理番号:19120）,保有設備（機種）（管理番号:19174）,現設備の導入年月（管理番号:19175）,主なクライアント（管理番号:19176）,FY24請求金額PP＆Label（円）（管理番号:19177）,FY24全社損益PP＆Label（円）（管理番号:19178）,DV伸長率　対FY23（管理番号:19179）,過年度MIF台数（管理番号:19180）,競合情報／他社機（管理番号:19181）,今後の印刷物注力状況（管理番号:19182）,今後の印刷物注力状況の詳細（管理番号:19183）,オフセットとオンデマンドの比率（管理番号:19184）,メインの印刷物（管理番号:19185）,他社との差別化ポイント（管理番号:19186）,印刷における課題（管理番号:19187）,印刷以外で実施しているビジネス（管理番号:19188）,印刷とその他ビジネスのシナジーは生み出せているか（管理番号:19189）,ビジネスシナジーの詳細（管理番号:19190）,どんな会社になりたいと考えているか（管理番号:19191）
12927008,ＹＡＭＡＧＡＴＡ株式会社,神奈川県横浜市西区高島２－６－３４,045-461-4000,,1906,https://yamagata-corp.jp/,55000000,250,,X1,,,,anna.shirai@konicaminolta.com,東日本営業部,権田,,,,,,,,,,,,,,,,,,,,,,,
12926655,ＴＯＰＰＡＮ株式会社,東京都文京区水道１－３－３,03-3835-5111,印刷業,1908,https://www.holdings.toppan.com/ja/,500000000,10961,3,X2,,,加藤　哲平,anna.shirai@konicaminolta.com,西日本営業部,芝川,希望,,,69点,69点,,,,,,,,,,,,,,,,,,
12926656,ＴＯＰＰＡＮ株式会社,東京都文京区水道１－３－３,03-3835-5111,印刷業,1908,https://www.holdings.toppan.com/ja/,500000000,10961,3,X2,,,前　宏夫,anna.shirai@konicaminolta.com,西日本営業部,芝川,,,,69点,69点,,,,,,,,,,,,,,,,,,
12926690,ＴＯＰＰＡＮ株式会社,東京都文京区水道１－３－３,03-3835-5111,印刷業,1908,https://www.holdings.toppan.com/ja/,500000000,10961,3,X2,,,平野　圭祐,anna.shirai@konicaminolta.com,中日本営業部,服部,希望,,,,,,,,,,,,,,,,,,,,,,
12926756,ＴＯＰＰＡＮ株式会社,東京都文京区水道１－３－３,03-3835-5111,印刷業,1908,https://www.holdings.toppan.com/ja/,500000000,10961,3,X2,直販,,,anna.shirai@konicaminolta.com,東日本営業部,大脇,希望,,,,,,,,,,,,,,,,,,,,,,
12926900,ＴＯＰＰＡＮ株式会社,東京都文京区水道１－３－３,03-3835-5111,印刷業,1908,https://www.holdings.toppan.com/ja/,500000000,10961,3,X1,,,服部　晃宏,anna.shirai@konicaminolta.com,西日本営業部,芝川,不要,,,,,,,,,,,,,,,,,,,,,,
12927047,ＴＯＰＰＡＮクロレ株式会社,東京都北区東十条３－１０－３６,03-5843-9700,印刷業,1943,https://www.tosho.co.jp/company/profile,500000000,936,3,X2,,,田上　直樹,anna.shirai@konicaminolta.com,東日本営業部,大脇,希望,,,,,,,,,,,,,,,,,,,,,,
12926757,ＴＯＰＰＡＮエッジ株式会社,東京都港区東新橋１－７－３東京汐留ビルディング,03-6253-6000,印刷業,1955,https://www.edge.toppan.com/enterprise/about.html,500000000,2600,3,X2,直販,,,anna.shirai@konicaminolta.com,東日本営業部,権田,希望,,,,,,,,,,,,,,,,,,,,,,
12926755,ＮＴＴ印刷株式会社,東京都中央区入船３－２－１０アーバンネット入船,03-6453-7400,,1969,https://www.nttprint.com/company/tabid69.html,100000000,432,,X2,直販,,,anna.shirai@konicaminolta.com,東日本営業部,権田,希望,,,,,,,,,,,,,,,,,,,,,,
12927007,ＮＳハートフルサービス東日本株式会社,,,,,,,,,X1,,,,anna.shirai@konicaminolta.com,東日本営業部,大脇,,,,,,,,,,,,,,,,,,,,,,,
